Title,Year,Rating,Votes
The Shawshank Redemption,1994,9.233807739,2593768
The Godfather,1972,9.15579164,1789056
The Dark Knight,2008,8.985103144,2564710
The Godfather: Part II,1974,8.983863041,1234172
12 Angry Men,1957,8.947332157,766243
Schindler's List,1993,8.935102388,1319603
The Lord of the Rings: The Return of the King,2003,8.920752534,1781882
Pulp Fiction,1994,8.850881995,1988721
The Lord of the Rings: The Fellowship of the Ring,2001,8.803402152,1803056
" The Good, the Bad and the Ugly",1966,8.793890782,744287
Forrest Gump,1994,8.767215352,2002513
Fight Club,1999,8.750210373,2042215
Inception,2010,8.732882739,2275915
The Lord of the Rings: The Two Towers,2002,8.7275813,1609316
Star Wars: Episode V - The Empire Strikes Back,1980,8.701743256,1254467
The Matrix,1999,8.67111329,1863048
Goodfellas,1990,8.651282007,1120164
One Flew Over the Cuckoo's Nest,1975,8.641373149,985398
Se7en,1995,8.603895638,1591849
Seven Samurai,1954,8.59921158,339757
It's a Wonderful Life,1946,8.596979344,445862
The Silence of the Lambs,1991,8.588001283,1388669
City of God,2002,8.578943792,742488
Saving Private Ryan,1998,8.577529063,1350201
Life Is Beautiful,1997,8.566035534,678042
The Green Mile,1999,8.559626103,1260877
Interstellar,2014,8.554838324,1736367
Star Wars,1977,8.554478447,1326139
Terminator 2: Judgment Day,1991,8.534938756,1070613
Back to the Future,1985,8.517955995,1163827
Spirited Away,2001,8.515393536,734733
Psycho,1960,8.50874947,654749
The Pianist,2002,8.504504661,807189
Léon: The Professional,1994,8.500959681,1129163
Parasite,2019,8.495533172,747648
The Lion King,1994,8.488460302,1027163
Gladiator,2000,8.485247502,1457583
American History X,1998,8.484748099,1098425
The Usual Suspects,1995,8.476694942,1062671
The Departed,2006,8.474956053,1289248
The Prestige,2006,8.467918576,1296690
Casablanca,1942,8.465697789,560543
Whiplash,2014,8.459717812,811979
The Intouchables,2011,8.454108903,833800
Modern Times,1936,8.450013473,237824
Hara-Kiri,1962,8.448797286,54232
Once Upon a Time in the West,1968,8.448079689,323891
Grave of the Fireflies,1988,8.447235515,267758
Top Gun: Maverick,2022,8.440338272,86303
Rear Window,1954,8.437503181,481535
Alien,1979,8.435539725,855921
City Lights,1931,8.434404084,181935
Cinema Paradiso,1988,8.428997592,255244
Memento,2000,8.426247943,1209458
Apocalypse Now,1979,8.42537711,652494
Indiana Jones and the Raiders of the Lost Ark,1981,8.411900889,945299
Django Unchained,2012,8.402388514,1499419
WALL·E,2008,8.39247817,1086480
The Lives of Others,2006,8.386558112,383885
Sunset Blvd,1950,8.383009695,218062
Paths of Glory,1957,8.370760276,193826
The Shining,1980,8.36802427,987909
The Great Dictator,1940,8.366596179,220548
Witness for the Prosecution,1957,8.356691351,122466
Avengers: Infinity War,2018,8.354938224,1019681
Aliens,1986,8.344607621,700953
American Beauty,1999,8.338432893,1133563
Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.334049455,481214
The Dark Knight Rises,2012,8.328858429,1656867
Spider-Man: Into the Spider-Verse,2018,8.327857698,493345
Joker,2019,8.320246195,1198038
Oldboy,2003,8.319899751,563359
Braveheart,1995,8.315615707,1018646
Amadeus,1984,8.315401282,394232
Toy Story,1995,8.314358503,966018
Coco,2017,8.312182953,479518
The Boat,1981,8.31172083,247476
Inglourious Basterds,2009,8.31049606,1398292
Princess Mononoke,1997,8.303844076,383189
Once Upon a Time in America,1984,8.301140769,343822
Avengers: Endgame,2019,8.300681304,1058668
Good Will Hunting,1997,8.286325498,939920
Requiem for a Dream,2000,8.277271575,822774
Toy Story 3,2010,8.276825594,815567
Singin' in the Rain,1952,8.274033477,237750
Your Name,2016,8.273914606,252111
3 Idiots,2009,8.26851876,387223
Star Wars: Episode VI - Return of the Jedi,1983,8.268305184,1024709
2001: A Space Odyssey,1968,8.265930332,653110
Reservoir Dogs,1992,8.264982058,992511
