Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1892,23.2,25.2,28,43.4,53.8,67.7,68.8,66.9,58.4,48.3,36.6,23.4
1893,13.2,21.6,30.1,40.7,54.9,68,67.4,67.7,55.7,50.4,36.2,26.9
1894,26.1,22.5,37.2,46.5,57,66.2,69.2,62.2,61,50,33.2,27.1
1895,20.9,16.8,28.2,43.4,58.2,68.2,67.1,67.6,61.7,43.6,38.7,29.9
1896,21.1,24.2,26,47.1,59.3,63.8,70.9,67.6,58.8,48.4,42.2,24.9
1897,23.4,24.2,33,45,55.6,61.5,70.4,63.9,57.2,49.3,36.7,27.5
1898,21.6,24.8,37.7,41.5,55,65.1,69,66.6,60.1,50.8,35.8,26.6
1899,20.7,19.6,28.3,43.8,55.8,66.1,68,66.2,57.5,50.4,36.3,33.2
1900,25,23.9,26.7,44.6,55.3,66.6,70.1,68.8,63.2,53,39.8,25.6
1901,22,16.2,30.6,45.8,55.6,66,70.2,69,60,48.8,31.4,25.2
1902,21.2,21.6,38.2,46,54.7,61.6,66.6,63.8,59.4,49,42.2,22.5
1903,24.2,27,41.6,45.2,58.4,59.6,67.2,60.4,59.2,49.7,33.4,21.6
1904,14.7,16,30,40.7,59.6,64.8,66.8,62.2,57.3,46.2,32,19.7
1905,18,15.5,30.8,44.4,56.1,62.9,69.6,63.9,58.2,49,35.2,29.2
1906,29.6,22.2,26.3,43.6,55.4,65,68.6,68.5,61.2,49.9,36,23.8
1907,22.5,15.2,34.2,40.1,50.8,62.1,68.7,64,60.2,44.2,37.1,30.8
1908,24.8,19.1,33.4,43.7,58.2,64.7,70.5,65.1,61.8,50.8,38.5,26.9
1909,25.1,27.7,30.3,43.8,54.9,64.7,66.8,64.7,58.9,46.5,41,23.3
1910,24.7,21,39,49.2,55,62.2,70.2,65.4,59.6,51,34.6,19.9
1911,26.6,24.1,29.7,42.2,62.8,62.8,71.9,67.4,58.5,47.7,35.3,32.8
1912,14.8,18.5,28.2,44.6,57.5,62.2,69.5,64.2,59.4,50.3,39.1,32.5
1913,33.8,21.3,37.8,46.9,54.5,64.8,69,66.9,57.7,53.4,41.7,29.8
1914,21.9,14.9,31,41.5,57.7,63.6,67.5,67.1,57.8,52.7,35.4,24.7
1915,26.1,27.8,28.9,49.5,52.2,63.7,68.3,64.8,63.2,50.3,38.7,26.2
1916,25.8,19.3,22.3,43.7,56,61,71.3,68.9,59.4,49.5,36.8,25.8
1917,23.2,18.8,31.6,42.7,47.7,64.3,70,70.1,55.8,45.8,32.6,16.5
1918,11.5,20.1,32.7,44.1,61.8,61.2,68.7,68.6,56.5,51.4,39.8,30.5
1919,27.1,26.4,36.2,43,56.2,68.1,68.2,64.8,60.3,50.9,37.2,20.4
1920,13.4,20.2,32.3,41.1,53,62.8,66.8,68.9,61,54.4,35.8,29.2
1921,25.6,26.4,42,50.7,57.6,64.4,72.5,62.3,62.1,49.6,37.5,23.5
