Title,Gross (Adjusted),Gross,Studio,Est. Num Tickets,Year
2001: A Space Odyssey,409683573,60405931,MGM,"43,722,900",1968
Airport,619462881,100489151,Universal,"66,111,300",1970
Aladdin,491384351,217350219,Disney,"52,442,300",1992
Alice in Wonderland,394495740,334191110,Disney,"42,102,000",2010
American Graffiti,615742991,115000000,Universal,"65,714,300",1973
American Sniper,403659600,350126372,Warner Brothers,"43,080,000",2014
An Officer and a Gentleman,409065153,129795554,Paramount,"43,656,900",1982
Apollo 13,373466649,173837933,Universal,"39,857,700",1995
Armageddon,402726348,201578182,Disney,"42,980,400",1998
Around the World in 80 Days,605446298,42000000,United Artists,"64,615,400",1956
Austin Powers: The Spy Who Shagged Me,380038767,206040086,Newline,"40,559,100",1999
Avatar,911790952,760507625,Fox,"97,309,600",2009
Avengers: Age of Ultron,499902618,459005868,Disney,"53,351,400",2015
Avengers: Endgame,892669593,858373000,Disney,"95,268,900",2019
Avengers: Infinity War,678572589,678815482,Disney,"72,419,700",2018
Back to the Future,555222161,211406762,Universal,"59,255,300",1985
Bambi,596985188,102247150,Disney,"63,712,400",1942
Batman,590050451,251348343,Warner Brothers,"62,972,300",1989
Batman Forever,396446574,184069126,Warner Brothers,"42,310,200",1995
Beauty and the Beast,532665760,504481165,Disney,"56,848,000",2017
Beauty and the Beast,425057869,218967620,Disney,"45,363,700",1991
Ben-Hur,918699453,74422622,MGM,"98,046,900",1959
Beverly Hills Cop,629195500,234760478,Paramount,"67,150,000",1984
Black Panther,715038755,700426566,Disney,"76,311,500",2018
Blazing Saddles,592555052,119601481,Warner Brothers,"63,239,600",1974
Bruce Almighty,377331774,242829261,Universal,"40,270,200",2003
Butch Cassidy and the Sundance Kid,661127523,102308889,Fox,"70,557,900",1969
Captain America: Civil War,438096224,408084349,Disney,"46,755,200",2016
Captain Marvel,443884073,426829839,Disney,"47,372,900",2019
Cast Away,392548654,233632142,Fox,"41,894,200",2000
Cinderella,565024118,93141149,Disney,"60,301,400",1950
Cleopatra,629509395,57777778,Fox,"67,183,500",1963
Close Encounters of the Third Kind,523996636,135189114,Columbia,"55,922,800",1977
Crocodile Dundee,432917425,174803506,Paramount,"46,202,500",1986
Dances with Wolves,409462441,184208848,Orion,"43,699,300",1990
Deadpool,396285410,363070709,Fox,"42,293,000",2016
Despicable Me 2,439397717,368065385,Universal,"46,894,100",2013
Doctor Zhivago,1163149635,111721910,MGM,"124,135,500",1965
Duel in the Sun,478061148,20408163,Selz.,"51,020,400",1946
E.T. the Extra-Terrestrial,1329174791,435110554,Universal,"141,854,300",1982
Earthquake,394961429,79666653,Universal,"42,151,700",1974
Fantasia,778117595,76408097,Disney,"83,043,500",1941
Fatal Attraction,371808159,156645693,Paramount,"39,680,700",1987
